gbifID,accessRights,bibliographicCitation,identifier,language,license,modified,references,rightsHolder,type,institutionID,collectionID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,recordedByID,individualCount,sex,lifeStage,establishmentMeans,georeferenceVerificationStatus,occurrenceStatus,preparations,disposition,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,verbatimIdentification,identificationQualifier,typeStatus,identifiedBy,identifiedByID,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,subfamily,genus,genericName,subgenus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceAboveSurface,distanceAboveSurfaceAccuracy,distanceFromCentroidInMeters,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory,eventType
891720687,,,351015,,CC_BY_NC_4_0,2022-04-10T17:22:52Z,https://www.inaturalist.org/observations/351015,Kevin Gagel,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,http://www.inaturalist.org/observations/351015,351015,,Kevin Gagel,,,,,,,PRESENT,,,,This fox allowed us to get within 15' of it with us in the car. It just wasn't scared at all.,,,,,,,,,,,2012-12-18T20:56:33,20:56:33-08:00,,,2012,12,18,Tue Dec 18 2012 20:56:33 GMT-0800 (PST),,,,,,,,,,,NORTH_AMERICA,,,,CA,British Columbia,,,,"Connaught Hill Park, Prince George, British Columbia, CA",,,,,,,,53.911167,-122.743167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29443150,,,,maxallen,https://orcid.org/0000-0001-8976-889X,2018-06-18T22:13:08,,,,42069,,,,,,,,"Vulpes vulpes (Linnaeus, 1758)",,,,,,,,Animalia,Chordata,Mammalia,Carnivora,Canidae,,Vulpes,Vulpes,,,vulpes,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CA,2023-03-29T13:53:14.255Z,,,,,,,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES,StillImage,TRUE,FALSE,5219243,5219243,1,44,359,732,9701,5219234,,5219243,Vulpes vulpes,"Vulpes vulpes (Linnaeus, 1758)",Vulpes vulpes,,DWC_ARCHIVE,2023-03-29T13:53:14.255Z,2023-03-28T11:22:53.478Z,FALSE,,CAN,Canada,CAN.2_1,British Columbia,CAN.2.12_1,Fraser-Fort George,CAN.2.12.13_1,Prince George,LC,
859318077,http://www.vertnet.org/resources/norms.html,,urn:catalog:AMNH:Mammals:M-15826,en,CC0_1_0,2013-08-07T00:00:00Z,,,PhysicalObject,urn:lsid:biocol.org:col:34925,,AMNH,Mammals,,,PRESERVED_SPECIMEN,,,urn:catalog:AMNH:Mammals:M-15826,M-15826,,A. J. Stone,,1,,,Native,,PRESENT,Not Mounted,,,,,,,,,,,,,,1897-09-01T00:00:00,,244,244,1897,9,1,1897-09-01,,,,,,,,,,North America;Canada;British Columbia;Stikine Region;;;;,NORTH_AMERICA,,,,CA,British Columbia,Kitimat-Stikine,,Cassiar Mountains,North America; Canada; British Columbia; Stikine Region; ; ; ; ; ; ; North America; Canada; British Columbia; Stikine Region; ; ; ; ; ; ; Cassiar Mountains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vulpes vulpes abietorum Merriam, 1900",,,,,,,Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes,Animalia,Chordata,Mammalia,Carnivora,Canidae,,Vulpes,Vulpes,,,vulpes,abietorum,,SUBSPECIES,,,ICZN,ACCEPTED,,,96ca66b4-f762-11e1-a439-00145eb45e9a,US,2023-01-24T22:55:40.756Z,,,,,,,,,,FALSE,FALSE,6164268,6164268,1,44,359,732,9701,5219234,,5219243,Vulpes vulpes,"Vulpes vulpes abietorum Merriam, 1900",Vulpes vulpes abietorum,,EML,2023-01-24T22:55:40.756Z,2023-01-08T08:23:34.102Z,TRUE,,,,,,,,,,,
859317370,http://www.vertnet.org/resources/norms.html,,urn:catalog:AMNH:Mammals:M-19841,en,CC0_1_0,2013-08-07T00:00:00Z,,,PhysicalObject,urn:lsid:biocol.org:col:34925,,AMNH,Mammals,,,PRESERVED_SPECIMEN,,,urn:catalog:AMNH:Mammals:M-19841,M-19841,66,A. J. Stone,,1,FEMALE,,Native,,PRESENT,Not Mounted,,,,,,,,,,,,,,1902-09-12T00:00:00,,255,255,1902,9,12,1902-09-12,,,,,,,,,,North America;Canada;British Columbia;Kitimat-Stikine Regional District;;;;,NORTH_AMERICA,,,,CA,British Columbia,Kitimat-Stikine Regional District,,Level Mountain,North America; Canada; British Columbia; Kitimat-Stikine Regional District; ; ; ; ; ; ; North America; Canada; British Columbia; Kitimat-Stikine Regional District; ; ; ; ; ; ; Level Mountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vulpes vulpes abietorum Merriam, 1900",,,,,,,Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes,Animalia,Chordata,Mammalia,Carnivora,Canidae,,Vulpes,Vulpes,,,vulpes,abietorum,,SUBSPECIES,,,ICZN,ACCEPTED,,,96ca66b4-f762-11e1-a439-00145eb45e9a,US,2023-01-24T22:55:41.619Z,,,,,,,,,,FALSE,FALSE,6164268,6164268,1,44,359,732,9701,5219234,,5219243,Vulpes vulpes,"Vulpes vulpes abietorum Merriam, 1900",Vulpes vulpes abietorum,,EML,2023-01-24T22:55:41.619Z,2023-01-08T08:23:34.102Z,TRUE,,,,,,,,,,,
686368391,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,8a90998a-1ed8-11e3-bfac-90b11c41863e,,CC_BY_4_0,2010-01-12T13:59:42Z,,,,http://grbio.org/cool/iakn-125z,,KU,KUM,University of Kansas Biodiversity Institute Mammalogy Collection,,PRESERVED_SPECIMEN,,,8a90998a-1ed8-11e3-bfac-90b11c41863e,39035,,MUNRO J A,,,,,,,PRESENT,Skull Complete,,,,,,,,,,,,,,1935-11-15T00:00:00,,,,1935,11,15,,,,,,,,,,,,NORTH_AMERICA,,,,CA,British columbia,KOOTENAY DIST,,AKOLKOLEX RIVER,,,,,,,,,50.9101639,-117.8815913,,,,degrees minutes seconds,,,,,Gary W. Shugart (PSM),2004-11-03,,BCGNIS downloaded April 2003/ SoftMap Oct 2003 (www.softmaptechnologies.com); degrees & minutes converted to dec lat/long for calculations; SoftMap uses same lat/long data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vulpes vulpes abietorum Merriam, 1900",,,,,,,,Animalia,Chordata,Mammalia,Carnivora,Canidae,,Vulpes,Vulpes,,,vulpes,abietorum,,SUBSPECIES,,,,ACCEPTED,,,1d04e739-98a9-4e16-9970-8f8f3bf9e9e3,US,2023-03-07T17:15:10.990Z,,,,,,,,COORDINATE_REPROJECTED;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,6164268,6164268,1,44,359,732,9701,5219234,,5219243,Vulpes vulpes,"Vulpes vulpes abietorum Merriam, 1900",Vulpes vulpes abietorum,,EML,2023-03-07T17:15:10.990Z,2023-03-07T15:18:07.648Z,TRUE,,CAN,Canada,CAN.2_1,British Columbia,CAN.2.8_1,Columbia-Shuswap,CAN.2.8.3_1,Columbia-Shuswap B,,
686368390,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,8a909619-1ed8-11e3-bfac-90b11c41863e,,CC_BY_4_0,2010-01-12T13:59:42Z,,,,http://grbio.org/cool/iakn-125z,,KU,KUM,University of Kansas Biodiversity Institute Mammalogy Collection,,PRESERVED_SPECIMEN,,,8a909619-1ed8-11e3-bfac-90b11c41863e,39034,,MUNRO J A,,,,,,,PRESENT,Skull Complete,,,,,,,,,,,,,,1941-12-15T00:00:00,,,,1941,12,15,,,,,,,,,,,,NORTH_AMERICA,,,,CA,British columbia,LILLOOET DIST,,LAC LA HACHE,,,,,,,,,51.8164338,-121.4677165,,,,degrees minutes seconds,,,,,Gary W. Shugart (PSM),2004-11-03,,BCGNIS downloaded April 2003/ SoftMap Oct 2003 (www.softmaptechnologies.com); degrees & minutes converted to dec lat/long for calculations; SoftMap uses same lat/long data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vulpes vulpes abietorum Merriam, 1900",,,,,,,,Animalia,Chordata,Mammalia,Carnivora,Canidae,,Vulpes,Vulpes,,,vulpes,abietorum,,SUBSPECIES,,,,ACCEPTED,,,1d04e739-98a9-4e16-9970-8f8f3bf9e9e3,US,2023-03-07T17:15:10.589Z,,,,,,,,COORDINATE_REPROJECTED;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,6164268,6164268,1,44,359,732,9701,5219234,,5219243,Vulpes vulpes,"Vulpes vulpes abietorum Merriam, 1900",Vulpes vulpes abietorum,,EML,2023-03-07T17:15:10.589Z,2023-03-07T15:18:07.648Z,TRUE,,CAN,Canada,CAN.2_1,British Columbia,CAN.2.4_1,Cariboo,CAN.2.4.38_1,Cariboo G,,
673099870,http://vertnet.org/resources/norms.html,,urn:catalog:CRCM:Mammals:51-159,en,CC0_1_0,2017-11-02T00:00:00Z,http://portal.vertnet.org/o/crcm/mammals?id=51-159,,PhysicalObject,urn:lsid:biocol.org:col:34938,,CRCM,Mammals,,,PRESERVED_SPECIMEN,,"{""hind foot length"":""141.0"", ""tail length"":""304.0"", ""total length"":""786.0"" }",urn:catalog:CRCM:Mammals:51-159,51-159,,"Hudson, Geo. E.",,,FEMALE,,Native,,PRESENT,skin (round);skull (complete),,,Imm.,,,,,,,,,,,1951-07-14T00:00:00,,195,195,1951,7,14,14-Jul-51,,,,,,,,,,North America | Canada | British Columbia |  |  |  |  |,NORTH_AMERICA,,,,CA,British Columbia,,,"Laird R., MP. 528, 5 mi SE Coal R. Hotel, B.C., Canada","North America | Canada | British Columbia | Laird R., MP. 528, 5 mi SE Coal R. Hotel, B.C., Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vulpes vulpes (Linnaeus, 1758)",,,,,,,Mammalia | Carnivora | Canidae,Animalia,Chordata,Mammalia,Carnivora,Canidae,,Vulpes,Vulpes,,,vulpes,,,SPECIES,,Red Fox,ICZN,ACCEPTED,,,3a339645-d3b4-40aa-b891-f9c92dc554d8,US,2023-01-24T16:27:53.229Z,,,,,,,,INSTITUTION_COLLECTION_MISMATCH,,FALSE,FALSE,5219243,5219243,1,44,359,732,9701,5219234,,5219243,Vulpes vulpes,"Vulpes vulpes (Linnaeus, 1758)",Vulpes vulpes,,EML,2023-01-24T16:27:53.229Z,2023-01-08T01:50:18.504Z,TRUE,,,,,,,,,,LC,
476822595,,,MCZ:Mamm:36745,,CC_BY_NC_4_0,2022-02-09T17:22:37Z,http://mczbase.mcz.harvard.edu/guid/MCZ:Mamm:36745,President and Fellows of Harvard College,,b4640710-8e03-11d8-b956-b8a03c50a862,,MCZ,Mamm,,"Museum of Comparative Zoology, Harvard University",PRESERVED_SPECIMEN,,{},MCZ:Mamm:36745,36745,,W. S. Kelly,,1,,,,verified by MCZ collection,PRESENT,skull (dry),unknown,,,,,,,,,,,,,,,,,,,,[no verbatim date data],,,,,,,,,http://vocab.getty.edu/tgn/7005735,North America: Canada: British Columbia,NORTH_AMERICA,,,,CA,British Columbia,,,"Robb Lake District, north of Peace River and Laurier Pass","British Columbia, N. of Peace R. & Laurier / Pass, Robb L. Dist",,,,,,,,56.971056,-123.639705,42718,,,decimal degrees,,,,,John Mewherter,,GEOLocate,GEOLocate,,,,,,,,,,,,,,,,,,,,,,,,[no agent data],,,,,,,,,,,,,,"Vulpes vulpes abietorum Merriam, 1900",,,,,,,Animalia Chordata Mammalia Carnivora Canidae Vulpes vulpes abietorum,Animalia,Chordata,Mammalia,Carnivora,Canidae,,Vulpes,Vulpes,,,vulpes,abietorum,,SUBSPECIES,,,ICZN,ACCEPTED,,,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,US,2023-04-03T17:28:41.935Z,,,,,,,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,6164268,6164268,1,44,359,732,9701,5219234,,5219243,Vulpes vulpes,"Vulpes vulpes abietorum Merriam, 1900","Vulpes vulpes abietorum Merriam, 1900",,EML,2023-04-03T17:28:41.935Z,2023-04-03T16:51:58.284Z,TRUE,,CAN,Canada,CAN.2_1,British Columbia,CAN.2.22_1,Peace River,CAN.2.22.11_1,Peace River B,,
476822594,,,MCZ:Mamm:36744,,CC_BY_NC_4_0,2021-12-06T11:34:33Z,http://mczbase.mcz.harvard.edu/guid/MCZ:Mamm:36744,President and Fellows of Harvard College,,b4640710-8e03-11d8-b956-b8a03c50a862,,MCZ,Mamm,,"Museum of Comparative Zoology, Harvard University",PRESERVED_SPECIMEN,,"{""sex"":""male""}",MCZ:Mamm:36744,36744,,W. S. Kelly,,1,MALE,,,verified by MCZ collection,PRESENT,skull (dry),unknown,,sex: male,,,,,,,,,,,1933-11-01T00:00:00,,305,,1933,11,1,11/1933,,,,,,,,,http://vocab.getty.edu/tgn/7005735,North America: Canada: British Columbia,NORTH_AMERICA,,,,CA,British Columbia,,,"Robb Lake District, north of Peace River and Laurier Pass","British Columbia, N. of Peace R. & Laurier / Pass, Robb L. Dist",,,,,,,,56.971056,-123.639705,42718,,,decimal degrees,,,,,John Mewherter,,GEOLocate,GEOLocate,,,,,,,,,,,,,,,,,,,,,,,,[no agent data],,,,,,,,,,,,,,"Vulpes vulpes abietorum Merriam, 1900",,,,,,,Animalia Chordata Mammalia Carnivora Canidae Vulpes vulpes abietorum,Animalia,Chordata,Mammalia,Carnivora,Canidae,,Vulpes,Vulpes,,,vulpes,abietorum,,SUBSPECIES,,,ICZN,ACCEPTED,,,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,US,2023-04-03T17:28:44.219Z,,,,,,,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,6164268,6164268,1,44,359,732,9701,5219234,,5219243,Vulpes vulpes,"Vulpes vulpes abietorum Merriam, 1900","Vulpes vulpes abietorum Merriam, 1900",,EML,2023-04-03T17:28:44.219Z,2023-04-03T16:51:58.284Z,TRUE,,CAN,Canada,CAN.2_1,British Columbia,CAN.2.22_1,Peace River,CAN.2.22.11_1,Peace River B,,
476822593,,,MCZ:Mamm:36261,,CC_BY_NC_4_0,2021-12-06T11:34:33Z,http://mczbase.mcz.harvard.edu/guid/MCZ:Mamm:36261,President and Fellows of Harvard College,,b4640710-8e03-11d8-b956-b8a03c50a862,,MCZ,Mamm,,"Museum of Comparative Zoology, Harvard University",PRESERVED_SPECIMEN,,{},MCZ:Mamm:36261,36261,,W. S. Keily,,1,,,,verified by MCZ collection,PRESENT,skull (dry),unknown,,,,,,,,,,,,,1934-01-01T00:00:00,,1,,1934,1,1,1934,,,,,,,,,http://vocab.getty.edu/tgn/7005735,North America: Canada: British Columbia,NORTH_AMERICA,,,,CA,British Columbia,,,"Robb Lake district, north of Peace River and Laurier Pass","British Columbia, Robb Lake Dist. n. of Peace R. / & Laurier Pass",,,,,,,,56.85673,-123.593013,9565,,,decimal degrees,,,,,John Mewherter,,GEOLocate,GEOLocate,,,,,,,,,,,,,,,,,,,,,,,,[no agent data],,,,,,,,,,,,,,"Vulpes vulpes abietorum Merriam, 1900",,,,,,,Animalia Chordata Mammalia Carnivora Canidae Vulpes vulpes abietorum,Animalia,Chordata,Mammalia,Carnivora,Canidae,,Vulpes,Vulpes,,,vulpes,abietorum,,SUBSPECIES,,,ICZN,ACCEPTED,,,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,US,2023-04-03T17:29:59.817Z,,,,,,,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,6164268,6164268,1,44,359,732,9701,5219234,,5219243,Vulpes vulpes,"Vulpes vulpes abietorum Merriam, 1900","Vulpes vulpes abietorum Merriam, 1900",,EML,2023-04-03T17:29:59.817Z,2023-04-03T16:51:58.284Z,TRUE,,CAN,Canada,CAN.2_1,British Columbia,CAN.2.22_1,Peace River,CAN.2.22.11_1,Peace River B,,
4067554510,,,151734659,,CC_BY_NC_4_0,2023-03-20T17:18:06Z,https://www.inaturalist.org/observations/151734659,vulpesmacroura,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/151734659,151734659,,vulpesmacroura,,,,,,,PRESENT,,,,"- The British Columbia red fox is a subspecies of the red fox (Vulpes vulpes) that is found in western North America, including parts of Canada and the United States. - British Columbia red foxes are typically smaller than other red fox subspecies, with a",,,,,,,,,,,2023-03-18T14:51:00,14:51:00-07:00,,,2023,3,18,2023-03-18 14:51:00-07:00,,,,,,,,,,,NORTH_AMERICA,,,,CA,British Columbia,,,,"Stanley Park, Vancouver, BC, CA",,,,,,,,49.305471,-123.13901,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342804590,,,,vulpesmacroura,,2023-03-20T15:39:08,,,,42069,,,,,,,,"Vulpes vulpes (Linnaeus, 1758)",,,,,,,,Animalia,Chordata,Mammalia,Carnivora,Canidae,,Vulpes,Vulpes,,,vulpes,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2023-03-29T14:26:20.807Z,,,,,,,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES,StillImage,TRUE,FALSE,5219243,5219243,1,44,359,732,9701,5219234,,5219243,Vulpes vulpes,"Vulpes vulpes (Linnaeus, 1758)",Vulpes vulpes,,DWC_ARCHIVE,2023-03-29T14:26:20.807Z,2023-03-28T11:22:53.478Z,TRUE,,CAN,Canada,CAN.2_1,British Columbia,CAN.2.14_1,Greater Vancouver,CAN.2.14.34_1,Vancouver,LC,
